2025-07-11 04:30:50.806 INFO  (qtp893591815-57-null-1) [c: s: r: x: t:null-1] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={json.nl=flat&wt=json} status=0 QTime=63
2025-07-11 04:30:50.975 INFO  (qtp893591815-28-null-2) [c: s: r: x:drupal t:null-2] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} hits=9 status=0 QTime=38
2025-07-11 04:30:50.976 INFO  (qtp893591815-28-null-2) [c: s: r: x:drupal t:null-2] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} status=0 QTime=39
2025-07-11 04:30:51.071 INFO  (qtp893591815-29-null-3) [c: s: r: x: t:null-3] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={json.nl=flat&wt=json} status=0 QTime=25
2025-07-11 04:30:51.119 INFO  (qtp893591815-30-null-4) [c: s: r: x:drupal t:null-4] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} hits=9 status=0 QTime=10
2025-07-11 04:30:51.120 INFO  (qtp893591815-30-null-4) [c: s: r: x:drupal t:null-4] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} status=0 QTime=10
2025-07-11 04:30:51.132 INFO  (qtp893591815-31-null-5) [c: s: r: x:drupal t:null-5] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} hits=9 status=0 QTime=3
2025-07-11 04:30:51.132 INFO  (qtp893591815-31-null-5) [c: s: r: x:drupal t:null-5] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} status=0 QTime=3
2025-07-11 04:30:51.246 INFO  (qtp893591815-32-null-6) [c: s: r: x:drupal t:null-6] o.a.s.c.S.Request webapp=/solr path=/admin/file params={json.nl=flat&wt=json} status=0 QTime=13
2025-07-11 04:30:51.276 INFO  (qtp893591815-33-null-7) [c: s: r: x:drupal t:null-7] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=schema_extra_types.xml&json.nl=flat&wt=json} status=0 QTime=18
2025-07-11 04:30:51.305 INFO  (qtp893591815-26-null-8) [c: s: r: x:drupal t:null-8] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=schema_extra_fields.xml&json.nl=flat&wt=json} status=0 QTime=6
2025-07-11 04:30:51.327 INFO  (qtp893591815-27-null-9) [c: s: r: x:drupal t:null-9] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=solrconfig_extra.xml&json.nl=flat&wt=json} status=0 QTime=5
2025-07-11 04:30:51.349 INFO  (qtp893591815-55-null-10) [c: s: r: x:drupal t:null-10] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=solrconfig_index.xml&json.nl=flat&wt=json} status=0 QTime=6
2025-07-11 04:30:51.366 INFO  (qtp893591815-57-null-11) [c: s: r: x:drupal t:null-11] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=solrconfig_query.xml&json.nl=flat&wt=json} status=0 QTime=5
2025-07-11 04:30:51.388 INFO  (qtp893591815-28-null-12) [c: s: r: x:drupal t:null-12] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=solrconfig_requestdispatcher.xml&json.nl=flat&wt=json} status=0 QTime=6
2025-07-11 04:30:51.406 INFO  (qtp893591815-58-null-13) [c: s: r: x:drupal t:null-13] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=elevate.xml&json.nl=flat&wt=json} status=0 QTime=4
2025-07-11 04:30:51.423 INFO  (qtp893591815-29-null-14) [c: s: r: x:drupal t:null-14] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=schema.xml&json.nl=flat&wt=json} status=0 QTime=2
2025-07-11 04:30:51.444 INFO  (qtp893591815-31-null-15) [c: s: r: x:drupal t:null-15] o.a.s.c.S.Request webapp=/solr path=/admin/file params={file=solrconfig.xml&json.nl=flat&wt=json} status=0 QTime=3
2025-07-11 04:30:51.495 INFO  (qtp893591815-30-null-16) [c: s: r: x:drupal t:null-16] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} hits=9 status=0 QTime=3
2025-07-11 04:30:51.495 INFO  (qtp893591815-30-null-16) [c: s: r: x:drupal t:null-16] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} status=0 QTime=4
2025-07-11 04:30:51.557 INFO  (qtp893591815-32-null-17) [c: s: r: x:drupal t:null-17] o.a.s.c.S.Request webapp=/solr path=/schema/fieldtypes params={json.nl=flat&wt=json} status=0 QTime=49
2025-07-11 04:41:32.222 INFO  (qtp893591815-60-null-18) [c: s: r: x: t:null-18] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={json.nl=flat&wt=json} status=0 QTime=63
2025-07-11 04:41:32.273 INFO  (qtp893591815-55-null-19) [c: s: r: x:drupal t:null-19] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} hits=9 status=0 QTime=13
2025-07-11 04:41:32.273 INFO  (qtp893591815-55-null-19) [c: s: r: x:drupal t:null-19] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={json.nl=flat&omitHeader=false&wt=json} status=0 QTime=13
